500,5,32,16,43,43,0,43,43
1000,5,32,32,83,83,0,83,83
2500,5,32,79,213,213,0,213,213
5000,5,32,157,369,369,0,369,369
10000,5,32,313,698,698,0,698,698
25000,5,32,782,3485,3485,0,3485,3485
