500,5,1,966,26,3,22,39
500,5,2,550,15,6,11,51
500,5,3,397,11,4,8,30
500,5,4,311,8,3,6,24
500,5,5,313,8,1,7,11
500,5,6,281,7,1,6,13
500,5,7,279,7,1,6,11
500,5,8,245,6,1,5,10
500,5,9,358,9,1,8,13
500,5,10,355,9,1,8,12
500,5,11,343,9,1,8,12
500,5,12,330,9,0,8,12
500,5,13,310,8,1,7,12
500,5,14,292,8,1,6,12
500,5,15,281,7,1,6,11
500,5,16,276,7,1,6,11
1000,5,1,3909,108,11,85,135
1000,5,2,2361,65,10,47,105
1000,5,3,1562,43,12,32,109
1000,5,4,1256,34,10,25,93
1000,5,5,1388,38,4,31,56
1000,5,6,1152,32,3,26,41
1000,5,7,1058,29,3,23,41
1000,5,8,970,26,3,21,36
1000,5,9,1362,37,4,30,49
1000,5,10,1378,38,3,31,48
1000,5,11,1373,38,3,31,47
1000,5,12,1307,36,3,28,45
1000,5,13,1224,34,3,27,42
1000,5,14,1134,31,3,25,40
1000,5,15,1086,30,3,24,39
1000,5,16,1050,29,3,23,38
2500,5,1,24667,685,101,524,867
2500,5,2,16422,456,66,339,562
2500,5,3,9751,270,41,203,345
2500,5,4,7773,215,36,161,303
2500,5,5,8719,242,33,187,304
2500,5,6,7923,220,36,161,295
2500,5,7,7326,203,35,144,269
2500,5,8,7034,195,30,142,248
2500,5,9,8449,234,37,178,301
2500,5,10,8570,238,32,185,298
2500,5,11,8338,231,31,182,288
2500,5,12,7891,219,29,171,270
2500,5,13,7508,208,28,161,258
2500,5,14,7526,209,29,156,260
2500,5,15,7300,202,29,155,255
2500,5,16,7039,195,29,150,250
5000,5,1,100038,2778,373,2154,3616
5000,5,2,68748,1909,258,1449,2505
5000,5,3,37433,1039,141,795,1358
5000,5,4,29719,825,112,628,1068
5000,5,5,34503,958,127,739,1226
5000,5,6,34343,953,126,747,1223
5000,5,7,31030,861,113,671,1120
5000,5,8,28275,785,104,610,1025
5000,5,9,30638,851,108,647,1098
5000,5,10,30102,836,105,660,1067
5000,5,11,29636,823,105,657,1086
5000,5,12,28767,799,98,630,1032
5000,5,13,28102,780,102,621,1015
5000,5,14,28147,781,99,623,1017
5000,5,15,27995,777,101,619,1003
5000,5,16,27937,776,101,606,994
10000,5,1,395244,10979,1192,8692,13794
10000,5,2,274317,7619,814,6026,9527
10000,5,3,158867,4412,618,3247,6146
10000,5,4,142936,3970,415,3156,4964
10000,5,5,140393,3899,398,3123,4870
10000,5,6,128574,3571,371,2853,4514
10000,5,7,120178,3338,330,2706,4164
10000,5,8,110241,3062,313,2483,3839
10000,5,9,118579,3293,328,2695,4131
10000,5,10,115456,3207,333,2582,4027
10000,5,11,112849,3134,311,2546,3890
10000,5,12,111316,3092,313,2484,3893
10000,5,13,109244,3034,309,2445,3808
10000,5,14,108986,3027,310,2454,3796
10000,5,15,108417,3011,312,2423,3806
10000,5,16,107238,2978,307,2420,3751
25000,5,1,2633233,73145,11081,56265,101346
25000,5,2,1451653,40323,6266,30858,55020
25000,5,3,1060262,29451,4276,22848,40306
25000,5,4,862670,23963,3467,18649,32775
25000,5,5,899146,24976,3590,19267,34370
25000,5,6,800163,22226,3166,17324,30428
25000,5,7,739078,20529,2917,15994,28132
25000,5,8,675803,18772,2682,14666,25786
25000,5,9,692976,19249,2705,15090,26373
25000,5,10,697222,19367,2695,15234,26550
25000,5,11,692567,19237,2738,15036,26500
25000,5,12,684708,19019,2730,14757,26354
25000,5,13,688769,19132,2719,14813,26281
25000,5,14,680999,18916,2683,14743,26017
25000,5,15,695336,19314,2880,14607,25817
25000,5,16,668484,18569,2676,14482,25624
